length,references,links,citations_template,citations_non_template,categories,-1obox,images,l2_headings,l3plus_headings,languages,flesch,flesch_kincaid,smog,coleman_liau,ari,dale_chall,linsear_write,gunning_fog,spache
969,0,12,0,0,3,0,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13855,14,75,6,8,6,1,2,7,3,4,52.74,12.13,14.27,9.74,13.0,10.97,15.92,13.76,8.59
1859,0,19,0,0,9,1,0,1,0,0,12.47,28.81,-1,7.56,33.85,18.56,44.75,31.48,18.0
77459,168,275,122,46,3,1,2,0,0,17,51.82,11.99,14.51,10.19,12.84,12.57,15.94,13.52,8.9
18455,35,85,18,17,11,1,1,5,0,0,35.46,14.14,16.32,13.27,15.04,12.19,17.32,14.8,9.14
18106,5,177,3,2,3,1,2,3,1,20,63.42,13.9,14.12,1.82,13.19,17.83,22.89,17.39,13.27
1495,5,11,1,4,8,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
3945,0,51,0,0,13,0,0,0,0,0,60.66,9.75,-1,7.91,9.1,11.0,12.94,11.95,7.79
12120,22,39,9,13,4,1,2,5,0,0,56.91,10.27,12.69,9.96,10.73,9.54,12.95,11.74,7.02
6153,2,28,2,0,1,1,0,4,3,1,8.3,23.01,-1,13.98,25.82,18.24,33.25,24.86,14.53
40287,58,314,49,9,7,0,3,6,9,10,68.38,9.14,11.34,6.48,8.82,11.36,13.24,11.5,8.15
17560,0,170,0,0,12,1,6,1,0,11,56.53,9.83,11.92,8.63,8.76,10.47,12.03,11.7,7.35
36946,84,184,0,84,33,1,2,1,0,0,57.59,10.49,14.79,8.98,10.53,13.55,14.46,11.66,9.34
26141,98,148,17,81,4,1,0,0,0,0,41.75,15.05,17.54,11.63,17.25,13.03,20.45,17.3,10.34
29505,7,230,0,7,5,0,2,7,21,0,39.62,21.88,14.84,1.52,22.5,18.83,33.42,24.87,16.18
8538,15,33,0,15,4,1,0,5,0,0,9.56,24.8,-1,12.38,28.58,14.99,38.47,28.81,14.26
28186,49,130,0,49,11,1,0,0,0,1,50.79,11.77,15.51,10.16,12.1,10.67,15.4,13.89,7.95
6501,9,55,0,9,5,1,0,3,0,0,41.74,18.01,-1,6.66,19.27,15.64,27.43,21.58,13.06
10406,2,38,1,1,5,0,1,8,0,5,47.14,12.12,15.29,9.59,11.35,11.45,15.73,13.89,8.3
21982,62,178,15,47,16,0,11,8,0,6,61.69,8.65,12.34,8.74,8.01,10.57,10.73,10.75,7.15
54978,155,254,0,155,2,4,0,0,0,6,58.79,9.29,12.52,8.96,8.61,11.67,11.62,10.57,7.91
12520,20,35,0,20,8,0,0,5,8,0,41.85,13.68,16.73,12.0,14.86,10.52,18.24,15.73,8.48
1501,0,24,0,0,4,1,0,2,0,4,31.14,26.2,-1,3.82,30.87,19.1,39.75,29.0,18.24
103475,215,639,154,61,11,1,8,18,6,89,47.95,12.09,17.62,10.43,12.18,13.28,15.3,13.47,9.43
11541,23,78,11,12,2,1,0,6,0,3,61.17,9.92,13.19,7.83,9.48,10.34,13.42,12.23,7.52
35480,67,194,49,18,28,7,0,7,6,0,50.82,12.51,16.57,9.52,13.03,11.55,16.82,14.46,8.75
14015,17,117,9,8,2,1,0,5,0,0,60.32,10.44,12.69,6.84,9.45,10.51,14.71,13.33,7.86
2049,0,13,0,0,2,1,0,0,0,0,68.49,7.48,-1,9.6,8.34,10.35,8.66,10.46,6.56
12451,2,66,2,0,6,1,2,2,2,0,41.09,13.49,15.77,11.0,13.48,12.64,17.54,15.74,9.26
1829,2,14,1,1,1,0,0,1,0,0,39.45,13.21,-1,12.54,13.75,11.36,15.67,15.76,8.62
11553,9,59,0,9,2,1,9,10,0,2,21.52,20.45,-1,9.81,21.01,15.33,30.78,23.34,12.95
47308,143,259,49,94,13,1,2,0,0,39,45.11,13.32,15.69,12.4,15.37,11.72,17.34,15.19,9.16
2570,1,24,1,0,4,1,1,2,0,2,44.63,13.76,-1,9.31,13.64,14.86,19.33,15.07,10.74
29508,10,361,0,10,7,1,18,13,9,31,56.44,10.9,13.35,8.96,10.99,11.67,14.45,12.74,8.35
12894,0,137,0,0,5,0,2,12,0,0,56.83,10.62,13.35,8.29,10.01,10.97,14.33,12.52,7.68
55325,110,344,32,78,11,2,9,12,17,24,47.41,12.17,18.74,10.31,12.09,12.15,15.78,14.07,8.64
93970,369,243,3,366,7,1,0,11,8,1,27.06,19.6,16.77,11.55,22.26,11.85,28.58,22.25,10.58
42036,92,175,42,50,4,1,0,6,8,0,61.32,11.64,12.86,5.97,11.38,12.52,17.45,14.29,9.59
9478,23,86,0,23,4,1,0,5,0,0,72.92,9.22,11.67,3.61,7.9,14.76,14.92,12.31,10.21
15610,2,128,2,0,2,0,0,6,14,29,22.69,15.49,15.86,13.58,14.47,12.39,17.43,17.94,8.51
12755,7,100,2,5,9,1,0,7,4,5,47.34,12.41,15.2,10.82,12.94,11.87,16.12,13.74,8.82
4774,12,25,1,11,5,4,0,5,0,0,56.48,13.04,-1,7.92,14.37,12.98,19.18,15.48,10.38
8808,0,72,0,0,6,0,0,1,0,7,38.62,16.57,16.61,9.17,17.46,11.43,23.88,20.1,9.77
600,0,3,0,0,2,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
9591,11,23,1,10,4,1,0,2,0,0,53.42,10.59,14.46,11.51,11.66,10.88,13.27,12.56,7.8
52806,189,229,46,143,4,1,0,8,4,0,31.06,18.08,19.55,12.41,20.98,13.27,26.0,19.48,11.07
2390,0,33,0,0,5,0,0,2,0,0,69.51,7.89,-1,5.95,6.37,13.05,11.14,9.93,8.51
1394,1,19,0,1,3,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
20544,22,135,0,22,3,1,4,10,2,4,56.28,10.15,14.88,10.15,10.49,12.11,13.09,12.29,8.3
17317,6,49,0,6,2,2,0,4,8,0,55.84,13.17,14.93,7.28,13.95,13.25,19.55,16.1,10.31
30611,53,205,25,28,2,0,5,11,0,2,57.8,10.05,11.54,10.06,10.62,12.08,12.91,11.8,8.46
13641,14,91,1,13,16,1,0,7,0,3,55.45,10.34,13.61,9.86,10.39,11.59,13.2,11.21,8.21
55795,112,106,35,77,6,1,0,10,2,0,39.23,15.16,16.81,11.88,16.98,11.28,20.88,16.9,9.23
3914,0,43,0,0,1,0,0,0,0,0,86.0,3.24,8.02,6.41,3.37,12.34,4.05,5.96,6.84
14212,32,83,11,21,7,0,0,6,4,0,53.55,9.02,15.34,9.02,6.97,11.4,8.56,9.62,7.31
48477,55,284,0,55,3,0,1,11,28,1,38.62,14.98,16.11,11.03,15.77,11.27,20.01,17.33,9.3
15952,4,157,0,4,13,1,1,12,0,11,56.16,10.98,15.86,8.53,10.72,12.77,15.43,12.88,9.0
17181,7,179,0,7,7,1,0,9,3,9,62.13,10.38,12.75,5.91,9.07,13.06,14.93,12.66,9.4
24833,36,152,17,19,6,1,0,7,9,0,45.09,13.79,16.69,9.55,14.01,12.96,18.93,15.24,9.8
8918,10,112,3,7,2,1,26,3,3,0,58.84,12.1,13.82,6.19,11.77,14.98,18.28,15.21,11.13
987,0,6,0,0,3,1,0,1,0,0,-50.76,49.67,-1,4.13,56.23,23.73,75.5,49.2,26.08
36198,120,150,15,105,8,1,1,2,3,0,56.57,10.56,14.22,9.75,11.01,10.78,13.98,13.18,7.9
37760,66,177,66,0,1,0,0,8,7,8,23.62,20.08,17.58,12.01,22.62,16.19,28.9,20.58,12.7
73514,56,468,28,28,5,0,0,2,6,0,43.88,12.07,14.36,11.74,12.11,11.89,14.8,13.61,8.11
31194,36,182,0,36,4,0,9,8,7,0,54.81,10.54,13.51,10.32,10.97,10.88,13.41,12.68,7.79
10153,5,177,0,5,3,1,38,4,2,0,74.89,7.88,10.5,2.53,5.0,13.74,12.23,10.39,9.73
67021,43,520,10,33,7,1,18,10,11,75,52.1,11.52,14.6,9.13,11.16,10.99,15.45,12.71,8.02
41786,79,140,33,46,2,0,2,8,8,3,30.23,17.24,18.1,12.43,19.05,12.53,24.02,20.51,10.04
3550,2,27,2,0,4,2,0,3,2,0,21.98,23.95,-1,7.32,26.36,17.99,34.0,24.57,15.85
55351,196,242,39,157,6,0,5,10,6,14,46.53,13.81,16.49,10.18,14.95,11.13,18.94,16.47,8.79
40504,92,347,0,92,31,1,5,13,0,17,64.88,8.09,12.69,8.78,7.85,11.06,10.42,10.42,7.28
11841,25,94,3,22,3,1,1,8,3,17,51.82,12.31,14.07,9.09,12.57,11.85,17.07,14.97,8.84
10112,0,43,0,0,1,0,1,5,0,2,43.63,12.81,14.79,12.19,13.82,10.38,15.95,15.09,7.85
4062,0,29,2,-2,7,4,0,4,0,0,43.64,17.3,-1,7.77,19.23,14.74,27.05,19.81,12.5
66544,115,350,69,46,3,0,14,14,17,5,59.69,11.19,14.12,7.34,11.13,13.59,16.16,13.82,9.83
94293,215,596,122,93,5,1,10,8,19,28,42.0,15.73,15.65,9.83,17.25,12.72,23.14,19.11,10.42
13039,9,39,0,9,7,0,0,5,0,0,47.21,11.46,12.69,11.39,11.57,11.47,13.99,11.72,8.05
40422,21,106,3,18,5,0,5,10,14,28,60.3,11.91,12.28,5.31,11.08,13.31,17.7,15.14,9.22
5772,1,136,0,1,4,0,0,2,0,1,38.62,21.3,-1,-0.4,19.48,18.85,30.85,23.83,16.1
84075,64,664,52,12,7,2,7,13,25,48,53.96,13.26,16.65,8.47,14.54,11.24,19.83,15.71,9.51
25608,21,107,6,15,3,0,0,8,3,24,34.21,13.18,15.07,13.73,13.27,11.32,14.45,15.72,7.91
44409,54,124,0,54,5,1,11,8,0,3,51.73,11.24,11.92,10.87,11.93,10.84,14.01,12.83,7.82
18446,18,99,11,7,5,1,0,7,0,0,43.78,12.89,18.32,11.33,13.33,12.55,16.49,14.94,9.01
79326,166,351,2,164,16,1,0,8,10,48,56.07,9.33,12.34,9.64,8.56,10.72,10.96,12.17,6.99
1824,2,17,0,2,1,1,0,0,0,0,-1.04,25.8,-1,12.16,27.43,19.98,38.0,29.52,15.72
111485,233,502,174,59,13,2,1,1,5,0,45.33,12.14,14.88,11.06,12.08,12.23,14.96,13.74,8.6
16274,23,102,8,15,7,4,2,6,1,0,55.95,12.25,14.46,8.86,13.41,11.35,17.78,15.22,8.69
16141,45,79,11,34,10,1,0,4,0,0,55.34,11.62,14.36,9.3,12.35,11.79,16.4,14.12,8.84
422,0,5,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1391,4,14,0,4,3,1,0,1,0,0,3.44,28.4,-1,16.07,37.21,14.24,40.25,28.34,14.8
9738,14,57,7,7,4,1,2,5,2,0,50.7,13.86,14.55,9.18,15.41,12.9,19.85,16.19,10.46
31457,70,87,31,39,5,0,4,7,3,0,48.19,13.16,17.39,11.47,15.16,11.78,18.42,15.38,9.13
1704,0,17,0,0,3,1,0,3,0,4,-13.96,31.06,-1,11.17,33.78,19.64,50.25,29.91,17.26
31264,22,372,22,0,7,1,0,6,9,0,51.17,13.75,14.88,8.45,14.73,12.9,19.82,16.13,10.11
37654,31,207,17,14,1,0,3,10,26,16,44.28,12.16,14.88,11.5,12.2,11.31,14.8,14.79,7.73
1785,0,31,0,0,3,0,0,2,0,0,-89.62,64.86,-1,9.3,80.82,23.52,110.0,68.77,31.57
17284,38,116,18,20,6,1,0,8,0,1,62.27,9.94,12.69,7.38,9.44,13.14,13.99,12.46,9.16
8722,30,54,10,20,6,0,1,5,1,4,62.3,12.22,-1,6.34,13.09,14.44,19.57,16.34,10.6
2404,0,41,0,0,2,1,2,3,0,10,57.16,10.35,-1,6.5,8.16,15.16,13.62,12.7,9.85
9145,27,32,9,18,0,1,0,3,2,0,58.14,10.2,-1,8.95,10.11,13.82,13.81,11.41,9.36
10247,4,89,1,3,3,1,0,5,2,0,54.23,14.02,13.97,5.46,13.73,14.05,20.9,16.86,10.86
61499,93,300,21,72,8,4,0,7,11,22,52.44,12.26,15.07,9.91,13.3,10.82,17.15,14.68,8.5
8629,14,50,0,14,5,0,0,5,0,0,43.55,12.2,14.93,9.97,10.86,12.38,14.71,11.81,8.79
7437,5,65,5,0,3,1,2,5,0,0,52.35,11.85,15.47,9.1,11.83,11.4,16.7,13.96,8.5
24766,44,122,26,18,2,1,0,6,2,0,50.97,11.83,14.98,9.76,11.95,11.88,15.76,14.66,8.8
380,0,1,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
36724,82,272,36,46,3,1,0,7,5,1,50.95,12.66,17.28,8.23,12.33,11.8,17.52,15.57,9.0
1641,0,13,0,0,1,0,1,3,1,1,53.42,10.46,-1,9.61,9.89,10.6,12.85,12.31,7.38
8634,0,54,0,0,2,1,0,4,1,2,58.45,10.75,12.91,9.06,11.32,11.33,14.6,12.71,8.44
551,0,8,0,0,1,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
52542,124,221,90,34,7,1,5,0,0,6,53.06,11.29,13.87,9.75,11.47,11.51,14.96,13.01,8.48
2408,1,26,0,1,1,1,0,5,0,0,43.11,16.16,-1,7.46,16.54,15.79,25.1,17.74,12.09
695,0,10,0,0,3,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
45837,81,204,19,62,7,5,3,6,7,0,54.03,12.29,14.84,9.29,13.3,11.47,17.38,14.72,8.83
46929,90,227,70,20,24,1,0,6,8,5,69.67,8.83,11.73,7.27,9.21,10.54,13.23,11.23,7.86
22501,105,103,21,84,13,0,0,0,0,0,18.01,18.15,16.97,17.43,21.47,12.81,20.26,16.51,10.1
1492,0,21,0,0,2,0,0,0,0,0,63.21,8.26,-1,6.47,5.89,10.71,10.09,9.13,7.3
38368,96,210,61,35,6,1,0,11,3,10,42.76,16.96,17.51,6.85,17.57,14.88,25.47,19.03,12.3
62885,126,268,116,10,6,1,0,12,11,0,61.04,10.14,13.51,8.97,10.76,11.07,14.17,13.07,8.03
12846,29,73,21,8,4,1,0,8,0,0,67.38,9.12,12.63,7.58,9.4,10.53,13.54,12.64,7.7
2984,7,15,4,3,5,0,0,6,0,0,46.22,11.19,-1,14.78,13.54,13.46,11.91,10.91,8.54
27568,67,159,45,22,12,1,0,4,3,10,62.94,10.8,12.28,5.11,9.47,15.55,15.9,13.37,11.01
1733,1,10,0,1,3,0,0,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
4991,0,33,0,0,2,0,5,4,0,4,53.1,10.84,13.56,9.55,10.46,11.33,13.9,14.6,7.66
4252,4,38,1,3,8,1,0,4,0,0,42.04,15.93,-1,10.53,18.21,14.14,23.33,17.54,11.41
10146,24,40,0,24,9,1,0,5,4,0,42.23,11.71,13.45,12.46,11.61,12.21,12.95,12.39,8.35
27023,60,72,21,39,4,0,0,7,3,0,46.31,13.18,17.66,10.9,14.21,12.49,17.58,15.24,9.11
37568,32,127,42,-10,8,0,0,7,0,0,41.21,18.04,16.45,8.83,20.91,12.76,27.39,20.89,11.4
124100,139,422,72,67,10,1,29,24,5,19,40.0,14.56,19.22,11.93,16.04,12.79,20.08,15.92,9.7
3998,6,35,1,5,5,0,0,3,0,1,57.52,12.22,-1,7.5,12.68,10.69,17.64,14.6,8.38
13852,21,105,10,11,6,1,3,6,4,2,33.31,16.16,18.17,13.33,18.47,12.6,21.61,16.34,10.57
10648,3,121,0,3,1,1,6,10,0,1,62.48,9.65,13.24,8.27,9.67,12.04,13.48,12.6,8.3
42298,62,282,20,42,19,1,1,11,9,23,42.46,14.49,16.97,10.03,15.05,12.6,20.25,16.8,9.75
28071,58,62,0,58,3,0,0,8,2,0,60.21,8.63,10.43,9.58,8.3,11.47,10.2,10.26,7.43
2249,0,15,0,0,3,1,1,2,0,0,60.63,12.52,-1,9.53,15.78,13.78,19.56,15.11,10.72
6636,16,46,16,0,5,1,2,5,1,0,59.49,9.09,-1,10.39,9.59,14.74,11.46,11.16,9.03
5972,0,88,0,0,3,0,2,1,0,6,57.42,11.73,-1,5.49,10.09,14.45,17.21,15.57,9.98
21218,39,137,10,29,3,0,5,6,4,20,54.51,11.47,15.43,9.32,11.86,11.57,15.81,14.19,8.4
